记录ID,日期,人员姓名,人员角色,服务时长_小时,区域,活动类型,活动备注,复核状态
REC016,2026-06-02,张伟,执行者,7.0,朝阳区,助老服务,帮助10位老人就医,待复核
REC017,2026-06-02,李娜,执行者,8.5,海淀区,义诊活动,服务25名居民,待复核
REC018,2026-06-02,王强,管理者,5.0,朝阳区,社区清洁,,待复核
REC019,2026-06-02,赵敏,执行者,11.0,西城区,社区清洁,清扫6个小区,待复核
REC020,2026-06-02,陈刚,执行者,4.0,海淀区,环境巡查,巡查3条河道,待复核
REC021,2026-06-02,刘芳,复核者,2.5,朝阳区,数据整理,,待复核
REC022,2026-06-02,黄磊,执行者,6.0,东城区,助老服务,陪护6位老人,待复核
REC023,2026-06-02,周婷,执行者,9.0,西城区,义诊活动,诊疗35人次,待复核
REC024,2026-06-02,吴涛,管理者,3.0,东城区,环境巡查,,待复核
REC025,2026-06-02,孙丽,执行者,12.0,丰台区,社区清洁,清洁10条街道,待复核
REC026,2026-06-02,马超,执行者,5.5,丰台区,助老服务,上门服务8户,待复核
REC027,2026-06-02,郑华,执行者,3.0,朝阳区,环境巡查,巡查1个社区,待复核
REC028,2026-06-02,林峰,复核者,1.0,海淀区,数据整理,,待复核
REC029,2026-06-02,何雪,执行者,7.0,西城区,义诊活动,诊疗20人次,待复核
REC030,2026-06-02,高远,执行者,6.5,东城区,社区清洁,清理垃圾1.5吨,待复核
